age,job,marital,education,balance,housing,loan,month,campaign,deposit
50.0,admin.,married,tertiary,4087,no,no,sep,1,yes
70.0,retired,divorced,secondary,0,no,no,sep,1,yes
18.0,student,single,unknown,108,no,no,sep,1,yes
33.0,self-employed,married,secondary,409,no,no,sep,1,yes
24.0,technician,single,secondary,726,no,no,sep,2,yes
25.0,admin.,single,secondary,1871,no,no,sep,1,yes
26.0,management,single,tertiary,1094,yes,no,sep,1,yes
32.0,management,single,tertiary,2915,no,no,sep,1,yes
25.0,student,single,unknown,480,no,no,sep,1,yes
58.0,management,married,tertiary,1227,no,no,sep,2,yes
42.0,management,married,tertiary,1205,no,no,sep,2,yes
30.0,blue-collar,single,secondary,161,no,yes,sep,3,yes
74.5,retired,divorced,primary,802,no,no,sep,5,yes
74.5,retired,married,secondary,723,no,no,sep,1,yes
70.0,retired,married,primary,4087,no,no,sep,1,yes
30.0,management,single,tertiary,147,no,no,sep,1,yes
60.0,retired,married,secondary,0,no,no,sep,1,yes
51.0,unemployed,married,secondary,1416,no,no,sep,1,yes
71.0,retired,married,tertiary,4087,yes,no,sep,1,yes
31.0,management,single,tertiary,4087,no,no,sep,1,yes
32.0,admin.,single,secondary,555,yes,no,sep,1,yes
34.0,management,married,tertiary,158,no,no,sep,2,yes
28.0,admin.,single,secondary,261,yes,yes,sep,2,yes
45.0,management,married,tertiary,786,no,no,sep,3,yes
53.0,entrepreneur,married,primary,27,yes,no,sep,3,yes
38.0,unknown,single,tertiary,0,no,no,sep,3,yes
56.0,admin.,single,secondary,2815,yes,no,sep,1,yes
42.0,technician,married,secondary,3082,no,no,sep,1,yes
47.0,technician,married,secondary,1233,yes,no,sep,1,yes
73.0,retired,married,unknown,739,no,no,sep,1,yes
46.0,blue-collar,married,secondary,640,yes,no,sep,2,yes
73.0,retired,married,tertiary,1843,no,no,sep,2,yes
28.0,blue-collar,single,secondary,322,no,no,sep,2,yes
46.0,management,married,tertiary,4087,no,no,sep,4,yes
74.0,retired,married,primary,1765,no,no,sep,2,yes
71.0,retired,divorced,tertiary,1236,yes,no,sep,4,yes
41.0,admin.,divorced,secondary,4087,yes,yes,sep,2,yes
73.0,retired,married,primary,934,no,no,sep,5,yes
47.0,technician,divorced,secondary,1013,no,no,sep,1,yes
49.0,technician,divorced,tertiary,596,yes,no,sep,1,yes
40.0,admin.,married,secondary,4087,no,no,sep,1,yes
57.0,blue-collar,married,primary,3109,no,no,sep,2,yes
50.0,housemaid,married,secondary,388,no,no,sep,2,yes
34.0,blue-collar,married,secondary,262,no,no,sep,2,yes
56.0,services,married,secondary,654,no,no,sep,1,yes
32.0,technician,single,tertiary,1855,no,no,sep,2,yes
50.0,management,divorced,tertiary,810,no,no,sep,1,yes
54.0,unemployed,divorced,secondary,1664,no,no,sep,1,yes
26.0,management,single,tertiary,362,no,no,sep,1,yes
40.0,technician,married,tertiary,1293,no,no,sep,3,yes
29.0,management,single,tertiary,874,yes,no,sep,1,yes
52.0,housemaid,married,primary,4087,no,no,sep,1,yes
38.0,technician,married,secondary,4087,no,no,sep,1,yes
46.0,management,married,tertiary,2817,no,no,sep,1,yes
26.0,management,single,tertiary,1646,no,no,sep,5,yes
25.0,management,single,tertiary,808,no,no,sep,2,yes
70.0,retired,married,tertiary,44,no,no,sep,2,yes
74.5,retired,married,primary,425,no,no,sep,1,yes
43.0,management,divorced,tertiary,2367,no,no,sep,1,yes
45.0,blue-collar,married,secondary,4087,no,no,sep,1,yes
37.0,admin.,single,tertiary,1000,yes,no,sep,1,yes
71.0,retired,divorced,secondary,4087,no,no,sep,1,yes
27.0,management,single,tertiary,4087,no,no,sep,1,yes
47.0,admin.,married,secondary,2601,no,no,sep,1,yes
42.0,management,divorced,tertiary,238,no,no,sep,1,yes
74.5,retired,divorced,secondary,0,no,no,sep,1,yes
61.0,management,married,tertiary,3371,no,no,sep,2,yes
57.0,management,married,tertiary,4087,no,no,sep,3,yes
34.0,management,married,tertiary,16,yes,no,sep,1,yes
40.0,blue-collar,married,secondary,1451,no,no,sep,1,yes
74.5,entrepreneur,married,secondary,0,no,no,sep,2,yes
26.0,student,single,secondary,132,no,no,oct,1,yes
37.0,technician,married,unknown,189,no,no,oct,1,yes
47.0,management,married,tertiary,288,no,no,oct,1,yes
37.0,management,single,tertiary,1027,yes,no,oct,1,yes
28.0,management,single,tertiary,4087,no,no,oct,1,yes
54.0,management,married,tertiary,1464,no,no,oct,2,yes
54.0,management,married,tertiary,4087,no,no,oct,2,yes
61.0,retired,married,secondary,2917,no,no,oct,1,yes
30.0,technician,single,secondary,158,no,no,oct,1,yes
60.0,retired,married,primary,1588,no,no,oct,1,yes
44.0,management,married,unknown,282,no,no,oct,3,yes
33.0,management,single,tertiary,4087,no,no,oct,1,yes
25.0,admin.,single,tertiary,1185,no,no,oct,1,yes
54.0,unknown,married,unknown,895,no,no,oct,1,yes
24.0,blue-collar,single,secondary,1857,yes,no,oct,1,yes
36.0,technician,married,tertiary,4087,yes,no,oct,2,yes
58.0,retired,married,primary,565,no,no,oct,1,yes
33.0,management,single,tertiary,1781,no,no,oct,2,yes
27.0,admin.,married,secondary,3415,no,no,oct,3,yes
60.0,admin.,divorced,secondary,4087,no,no,oct,1,yes
56.0,unemployed,married,secondary,12,no,no,oct,3,yes
25.0,technician,single,secondary,139,no,yes,oct,1,yes
21.0,student,single,secondary,2488,no,no,oct,1,yes
73.0,retired,divorced,secondary,4087,yes,no,oct,1,yes
67.0,management,divorced,tertiary,361,no,no,oct,2,yes
51.0,entrepreneur,divorced,tertiary,2109,no,no,oct,2,yes
48.0,management,married,tertiary,1093,yes,yes,oct,2,yes
35.0,management,single,tertiary,2646,no,no,oct,1,yes
61.0,self-employed,divorced,tertiary,6,yes,no,oct,1,yes
35.0,technician,single,tertiary,670,no,no,oct,2,yes
36.0,admin.,divorced,secondary,592,no,no,oct,2,yes
74.5,retired,single,primary,1965,no,no,oct,3,yes
50.0,management,married,primary,313,no,no,oct,1,yes
66.0,housemaid,married,primary,40,no,no,oct,2,yes
58.0,technician,married,primary,4087,no,no,oct,5,yes
30.0,management,single,tertiary,536,no,no,oct,1,yes
54.0,blue-collar,married,primary,1311,no,no,oct,3,yes
26.0,admin.,single,secondary,766,no,no,oct,2,yes
43.0,services,married,primary,2557,yes,no,oct,3,yes
40.0,unemployed,single,tertiary,79,no,no,oct,1,yes
57.0,management,married,tertiary,1318,no,no,oct,1,yes
74.5,retired,married,secondary,3771,no,no,oct,1,yes
74.5,retired,married,tertiary,0,no,no,oct,1,yes
31.0,management,married,tertiary,4087,no,no,oct,2,yes
22.0,services,single,secondary,129,no,no,oct,1,yes
50.0,management,married,tertiary,469,no,no,oct,1,yes
27.0,management,married,tertiary,893,no,no,oct,2,yes
73.0,retired,married,unknown,519,no,no,oct,1,yes
37.0,services,married,secondary,4017,no,no,oct,1,yes
44.0,technician,single,tertiary,643,no,no,oct,1,yes
40.0,technician,married,secondary,2338,no,no,oct,2,yes
61.0,management,married,tertiary,0,no,no,oct,2,yes
61.0,technician,divorced,secondary,4087,no,no,oct,1,yes
47.0,blue-collar,married,secondary,820,no,no,oct,1,yes
47.0,services,single,unknown,1784,no,no,oct,2,yes
74.5,housemaid,divorced,primary,1411,no,no,oct,2,yes
30.0,student,single,tertiary,4087,no,no,oct,1,yes
39.0,technician,married,tertiary,206,no,no,oct,2,yes
72.0,retired,married,primary,1388,no,no,oct,1,yes
74.5,retired,married,unknown,1807,no,no,oct,1,yes
36.0,technician,married,secondary,480,no,no,oct,1,yes
65.0,retired,married,secondary,571,yes,no,oct,1,yes
54.0,technician,married,secondary,3994,no,yes,oct,2,yes
46.0,admin.,single,secondary,1693,yes,no,oct,1,yes
28.0,management,single,tertiary,80,no,no,oct,2,yes
61.0,management,married,tertiary,267,no,no,oct,3,yes
53.0,housemaid,married,primary,2581,no,no,oct,1,yes
27.0,student,single,tertiary,1134,no,no,oct,1,yes
55.0,unemployed,divorced,secondary,309,no,no,oct,2,yes
33.0,management,single,tertiary,4087,no,no,oct,2,yes
74.5,retired,divorced,primary,4087,no,no,oct,1,yes
57.0,management,married,tertiary,375,no,no,oct,1,yes
33.0,self-employed,single,tertiary,658,yes,no,oct,1,yes
51.0,technician,married,secondary,371,yes,yes,oct,1,yes
74.5,retired,divorced,primary,2693,no,no,oct,2,yes
19.0,student,single,secondary,329,no,no,oct,2,yes
33.0,admin.,married,tertiary,79,yes,no,oct,2,yes
55.0,management,divorced,tertiary,0,no,no,oct,5,yes
31.0,blue-collar,single,unknown,4087,no,no,oct,1,yes
74.5,retired,married,unknown,775,no,no,oct,3,yes
30.0,technician,single,tertiary,411,no,no,oct,3,yes
68.0,retired,single,tertiary,2144,no,no,oct,1,yes
41.0,technician,single,tertiary,431,no,no,oct,1,yes
29.0,self-employed,married,secondary,123,no,yes,oct,1,yes
27.0,blue-collar,single,secondary,3792,no,no,oct,1,yes
74.5,retired,married,unknown,4087,no,no,oct,4,yes
74.5,retired,married,primary,4087,no,no,oct,3,yes
29.0,technician,single,tertiary,2178,no,no,oct,2,yes
74.5,retired,married,tertiary,2991,no,no,oct,1,yes
38.0,management,married,tertiary,4087,no,no,oct,2,yes
60.0,technician,married,secondary,4087,no,no,oct,3,yes
33.0,services,divorced,secondary,2411,yes,no,oct,1,yes
43.0,blue-collar,married,secondary,4087,no,no,oct,1,yes
61.0,retired,married,secondary,86,no,no,oct,1,yes
43.0,technician,single,unknown,4087,no,no,oct,1,yes
57.0,management,married,primary,4087,no,no,oct,4,yes
33.0,management,married,tertiary,4087,no,no,oct,1,yes
74.5,management,married,unknown,1780,yes,no,oct,2,yes
35.0,technician,single,secondary,183,no,no,oct,1,yes
59.0,retired,married,primary,3648,no,no,oct,2,yes
74.5,retired,married,secondary,4087,no,no,oct,2,yes
73.0,retired,married,primary,542,no,no,oct,1,yes
74.5,retired,married,primary,243,no,no,oct,1,yes
41.0,unknown,single,unknown,942,no,no,oct,1,yes
57.0,technician,married,secondary,254,no,no,oct,1,yes
28.0,technician,single,unknown,0,yes,no,oct,1,yes
38.0,blue-collar,single,secondary,0,no,no,oct,1,yes
52.0,services,married,secondary,992,yes,no,oct,1,yes
22.0,student,single,secondary,23,no,no,oct,1,yes
53.0,unknown,married,primary,732,no,no,oct,2,yes
60.0,admin.,married,unknown,4087,yes,no,oct,1,yes
56.0,management,married,secondary,0,no,no,oct,1,yes
38.0,housemaid,divorced,secondary,70,no,no,oct,3,yes
44.0,management,single,tertiary,4087,no,no,oct,2,yes
69.0,retired,divorced,secondary,4087,no,no,oct,2,yes
36.0,student,single,tertiary,129,no,no,oct,1,yes
74.5,self-employed,married,unknown,4087,no,no,oct,1,yes
65.0,retired,married,primary,1004,no,no,oct,1,yes
64.0,retired,married,secondary,4087,no,no,oct,1,yes
30.0,admin.,single,secondary,914,yes,no,oct,3,yes
57.0,housemaid,married,tertiary,2326,no,no,oct,1,yes
31.0,management,married,tertiary,81,yes,no,oct,2,yes
36.0,management,married,tertiary,203,no,no,oct,1,yes
64.0,management,married,tertiary,3951,no,no,oct,1,yes
54.0,technician,married,unknown,240,yes,no,oct,1,yes
26.0,admin.,single,secondary,338,no,no,oct,1,yes
51.0,self-employed,single,secondary,0,no,no,oct,2,yes
72.0,retired,married,secondary,0,no,no,oct,3,yes
30.0,management,married,tertiary,944,no,no,oct,2,yes
60.0,blue-collar,married,primary,5,no,no,oct,1,yes
30.0,management,single,tertiary,697,no,no,oct,3,yes
66.0,retired,married,tertiary,1948,no,no,oct,2,yes
50.0,technician,married,secondary,3654,no,no,oct,2,yes
47.0,management,single,tertiary,551,no,no,oct,1,yes
74.5,retired,married,primary,997,no,no,oct,2,yes
61.0,management,married,tertiary,477,yes,no,oct,1,yes
47.0,management,married,tertiary,3663,no,no,oct,2,yes
30.0,technician,single,secondary,853,no,no,oct,1,yes
21.0,student,single,primary,4087,no,no,oct,1,yes
62.0,management,married,tertiary,4087,no,no,oct,2,yes
26.0,technician,single,secondary,44,no,no,oct,1,yes
36.0,blue-collar,married,secondary,1193,no,no,oct,1,yes
74.5,retired,married,primary,230,no,no,oct,1,yes
61.0,retired,married,primary,4087,no,no,oct,1,yes
70.0,retired,married,secondary,2384,no,no,oct,2,yes
60.0,management,married,tertiary,3401,no,no,oct,1,yes
41.0,services,married,tertiary,881,no,no,oct,3,yes
22.0,student,single,secondary,1522,no,no,oct,2,yes
60.0,retired,divorced,secondary,4087,no,no,oct,2,yes
54.0,technician,married,secondary,473,no,yes,nov,1,yes
35.0,self-employed,single,tertiary,4087,no,no,nov,1,yes
59.0,management,married,secondary,4087,no,no,nov,2,yes
29.0,student,single,unknown,4087,no,no,nov,3,yes
48.0,management,married,secondary,0,yes,yes,nov,1,yes
37.0,management,married,tertiary,238,no,no,nov,1,yes
36.0,management,single,tertiary,62,yes,no,nov,1,yes
52.0,admin.,single,secondary,2398,yes,no,nov,1,yes
67.0,retired,divorced,secondary,704,no,no,nov,1,yes
36.0,self-employed,married,tertiary,506,no,no,nov,1,yes
64.0,management,married,unknown,2352,no,no,nov,4,yes
29.0,technician,single,secondary,938,no,no,nov,1,yes
27.0,management,single,tertiary,1720,no,no,nov,2,yes
74.5,retired,married,primary,1492,no,no,nov,1,yes
34.0,management,married,tertiary,1778,no,no,nov,1,yes
54.0,technician,married,secondary,0,no,no,nov,5,yes
67.0,retired,married,primary,942,no,no,nov,2,yes
24.0,technician,married,secondary,556,yes,no,nov,2,yes
53.0,admin.,married,secondary,4087,no,no,nov,1,yes
33.0,student,married,secondary,1536,no,no,nov,1,yes
24.0,student,single,tertiary,235,no,no,nov,1,yes
32.0,management,single,tertiary,935,no,no,nov,1,yes
60.0,self-employed,married,tertiary,4087,no,no,nov,1,yes
64.0,entrepreneur,married,tertiary,2331,no,no,nov,1,yes
35.0,management,single,tertiary,1228,no,no,nov,2,yes
24.0,student,single,secondary,125,no,no,nov,1,yes
42.0,management,married,tertiary,2816,no,no,nov,2,yes
40.0,management,married,tertiary,0,no,no,nov,1,yes
33.0,management,married,tertiary,4087,yes,no,nov,2,yes
71.0,housemaid,divorced,primary,1311,no,no,nov,2,yes
52.0,unemployed,married,secondary,94,no,no,nov,3,yes
47.0,admin.,married,secondary,0,no,no,nov,1,yes
49.0,management,married,primary,3371,no,no,nov,2,yes
26.0,management,single,tertiary,943,no,no,nov,1,yes
40.0,management,married,tertiary,4087,no,no,nov,3,yes
32.0,technician,single,tertiary,4087,no,no,nov,1,yes
33.0,services,married,secondary,1076,no,no,nov,1,yes
35.0,management,married,tertiary,0,yes,no,nov,2,yes
53.0,management,married,tertiary,1624,no,no,nov,3,yes
20.0,student,single,unknown,801,no,no,nov,2,yes
44.0,self-employed,divorced,tertiary,1070,yes,no,nov,1,yes
21.0,student,single,secondary,123,no,no,nov,1,yes
36.0,blue-collar,single,secondary,3623,no,no,nov,1,yes
31.0,management,single,tertiary,533,no,no,nov,3,yes
42.0,technician,married,secondary,994,yes,no,nov,3,yes
33.0,services,married,secondary,386,no,no,nov,1,yes
29.0,management,single,tertiary,1026,no,no,nov,1,yes
30.0,unemployed,single,secondary,2424,no,no,nov,1,yes
32.0,management,married,tertiary,1331,no,no,nov,1,yes
54.0,unknown,married,secondary,2206,no,no,nov,1,yes
74.5,retired,divorced,tertiary,0,no,no,nov,1,yes
47.0,management,married,tertiary,4087,no,yes,nov,1,yes
48.0,blue-collar,married,secondary,1230,yes,no,nov,1,yes
74.5,retired,divorced,secondary,3417,no,no,nov,1,yes
38.0,admin.,married,secondary,1767,yes,no,nov,6,yes
27.0,student,single,tertiary,4087,no,no,nov,2,yes
43.0,services,single,secondary,3403,yes,no,nov,2,yes
33.0,technician,married,secondary,133,no,no,nov,2,yes
27.0,admin.,single,secondary,4087,no,no,nov,4,yes
74.5,retired,married,primary,3324,no,no,nov,1,yes
74.5,retired,married,primary,4087,no,no,nov,1,yes
71.0,retired,married,primary,2600,no,no,nov,2,yes
39.0,admin.,married,secondary,260,yes,no,nov,1,yes
18.0,student,single,primary,608,no,no,nov,1,yes
58.0,services,divorced,secondary,462,no,no,nov,1,yes
44.0,technician,divorced,secondary,14,no,no,nov,1,yes
67.0,retired,married,secondary,1146,no,no,nov,1,yes
31.0,services,single,secondary,181,no,no,nov,2,yes
61.0,retired,married,secondary,3114,no,no,nov,1,yes
36.0,technician,single,secondary,376,no,no,nov,1,yes
56.0,retired,married,primary,4087,no,no,nov,2,yes
24.0,student,single,unknown,382,no,no,nov,2,yes
33.0,admin.,married,secondary,920,no,no,nov,1,yes
34.0,blue-collar,single,unknown,129,yes,yes,nov,1,yes
58.0,admin.,married,secondary,169,no,no,nov,1,yes
64.0,retired,married,unknown,679,no,no,nov,1,yes
27.0,blue-collar,single,secondary,535,no,no,nov,1,yes
63.0,management,married,tertiary,3115,no,no,nov,5,yes
23.0,student,single,secondary,1234,no,no,nov,1,yes
37.0,technician,single,tertiary,197,no,no,nov,1,yes
43.0,management,married,tertiary,3186,no,no,nov,1,yes
35.0,technician,married,tertiary,3160,yes,no,nov,2,yes
33.0,blue-collar,married,primary,195,no,no,nov,5,yes
74.5,retired,married,tertiary,4087,no,no,nov,2,yes
40.0,admin.,married,tertiary,764,yes,no,nov,1,yes
52.0,management,married,tertiary,583,no,no,nov,1,yes
55.0,technician,divorced,tertiary,0,no,no,nov,2,yes
71.0,retired,married,secondary,4087,no,no,nov,2,yes
74.5,retired,married,tertiary,1204,no,no,nov,1,yes
35.0,technician,married,secondary,4087,yes,no,nov,4,yes
52.0,technician,married,secondary,234,no,no,nov,1,yes
31.0,management,single,tertiary,4087,no,no,nov,1,yes
31.0,admin.,single,secondary,4087,no,no,nov,1,yes
38.0,management,married,unknown,3576,no,no,nov,2,yes
28.0,student,single,secondary,1925,no,no,nov,1,yes
72.0,retired,married,secondary,1129,no,no,nov,1,yes
29.0,admin.,single,secondary,265,yes,no,nov,1,yes
46.0,housemaid,married,secondary,38,no,no,nov,1,yes
53.0,technician,married,secondary,1982,yes,yes,nov,1,yes
58.0,technician,married,secondary,3399,no,no,nov,2,yes
22.0,student,single,tertiary,691,no,no,nov,5,yes
28.0,admin.,married,secondary,330,no,no,dec,1,yes
31.0,technician,married,secondary,318,no,no,dec,1,yes
26.0,blue-collar,single,tertiary,644,no,no,dec,1,yes
60.0,retired,divorced,tertiary,4,yes,no,dec,1,yes
29.0,technician,single,secondary,1165,no,no,dec,2,yes
36.0,admin.,divorced,tertiary,4087,no,no,dec,1,yes
68.0,retired,married,tertiary,2820,no,no,dec,1,yes
48.0,management,married,tertiary,1147,no,no,dec,1,yes
53.0,unemployed,married,primary,980,yes,no,dec,1,yes
39.0,technician,married,secondary,2983,no,no,dec,1,yes
28.0,services,single,secondary,339,no,no,dec,1,yes
72.0,retired,married,unknown,1940,no,no,dec,2,yes
29.0,management,single,tertiary,1445,no,no,dec,2,yes
26.0,student,single,tertiary,294,no,no,dec,2,yes
49.0,management,married,tertiary,4087,no,no,dec,3,yes
43.0,management,single,tertiary,4087,no,no,dec,5,yes
28.0,student,single,unknown,78,no,no,dec,3,yes
44.0,admin.,single,secondary,733,yes,no,dec,2,yes
73.0,retired,divorced,primary,4087,no,no,dec,6,yes
39.0,management,married,tertiary,481,no,no,dec,5,yes
29.0,student,single,secondary,314,no,no,dec,2,yes
31.0,technician,married,secondary,684,yes,no,dec,3,yes
30.0,student,single,secondary,1681,no,no,dec,2,yes
50.0,admin.,married,secondary,4087,yes,no,dec,3,yes
42.0,management,married,tertiary,254,no,no,dec,6,yes
37.0,admin.,married,secondary,0,yes,no,dec,1,yes
49.0,technician,married,secondary,307,no,no,dec,1,yes
59.0,unemployed,married,secondary,957,no,no,dec,2,yes
74.5,retired,married,primary,155,no,no,dec,2,yes
74.5,retired,single,secondary,614,no,no,dec,1,yes
69.0,retired,married,unknown,426,no,no,dec,1,yes
74.5,retired,married,secondary,4087,no,no,dec,2,yes
36.0,services,married,secondary,4087,no,no,dec,3,yes
49.0,management,married,tertiary,395,no,no,dec,5,yes
69.0,retired,married,secondary,3588,yes,no,dec,1,yes
66.0,retired,married,unknown,2540,no,no,dec,2,yes
32.0,management,divorced,tertiary,883,yes,no,dec,1,yes
47.0,management,single,tertiary,4087,no,no,dec,1,yes
58.0,management,married,tertiary,256,no,no,dec,1,yes
64.0,retired,married,primary,43,no,no,dec,1,yes
72.0,retired,married,primary,3856,no,no,dec,4,yes
74.5,retired,married,primary,3025,no,no,dec,3,yes
30.0,technician,married,secondary,2326,no,no,dec,1,yes
36.0,management,married,tertiary,925,no,no,dec,3,yes
53.0,entrepreneur,married,tertiary,1961,no,no,dec,1,yes
34.0,management,married,tertiary,2037,no,no,dec,2,yes
29.0,student,single,secondary,459,no,no,dec,3,yes
29.0,management,single,tertiary,572,no,no,dec,1,yes
74.5,retired,divorced,secondary,452,no,no,dec,1,yes
57.0,retired,married,secondary,4087,no,no,dec,2,yes
72.0,retired,married,secondary,1533,no,no,dec,2,yes
34.0,services,married,secondary,1337,no,no,dec,2,yes
57.0,management,divorced,unknown,2986,no,no,dec,2,yes
66.0,housemaid,married,primary,1230,no,no,dec,3,yes
27.0,student,single,secondary,538,no,no,dec,4,yes
50.0,management,married,tertiary,4087,yes,no,dec,1,yes
74.5,retired,divorced,secondary,1341,no,no,dec,6,yes
50.0,services,married,secondary,320,no,no,dec,3,yes
32.0,admin.,single,secondary,131,yes,no,dec,1,yes
59.0,retired,married,primary,2074,no,no,dec,1,yes
68.0,retired,married,secondary,1443,no,no,dec,2,yes
31.0,technician,married,tertiary,3338,yes,no,dec,2,yes
64.0,self-employed,married,tertiary,661,no,no,dec,2,yes
30.0,unemployed,divorced,secondary,4087,no,no,dec,2,yes
60.0,admin.,married,secondary,3735,no,no,dec,1,yes
35.0,management,single,tertiary,538,no,no,dec,3,yes
72.0,retired,married,primary,4087,no,no,dec,3,yes
30.0,blue-collar,married,primary,5,no,no,dec,1,yes
52.0,unemployed,divorced,secondary,230,no,no,dec,2,yes
33.0,management,married,tertiary,1808,no,no,dec,3,yes
74.5,retired,married,secondary,4087,no,no,dec,1,yes
43.0,management,married,tertiary,3518,no,no,dec,2,yes
39.0,technician,single,tertiary,25,yes,no,dec,1,yes
25.0,technician,married,tertiary,2551,no,no,dec,3,yes
38.0,admin.,married,secondary,4087,no,no,dec,2,yes
44.0,management,married,unknown,2724,no,no,dec,1,yes
20.0,student,single,unknown,755,no,no,dec,1,yes
32.0,management,single,tertiary,718,yes,no,dec,1,yes
23.0,services,single,secondary,870,no,no,dec,1,yes
35.0,unemployed,married,secondary,978,no,no,dec,3,yes
61.0,management,married,secondary,544,no,no,dec,3,yes
46.0,management,divorced,tertiary,461,no,no,dec,2,yes
70.0,retired,married,primary,2795,no,no,jan,2,yes
25.0,technician,single,secondary,139,no,yes,jan,1,yes
57.0,retired,married,secondary,1044,no,no,jan,1,yes
55.0,admin.,married,secondary,1633,no,no,jan,1,yes
33.0,management,married,tertiary,4087,yes,no,jan,1,yes
73.0,retired,married,primary,1388,no,no,jan,2,yes
34.0,unemployed,single,secondary,15,no,no,jan,1,yes
31.0,technician,single,secondary,2544,no,no,jan,1,yes
25.0,blue-collar,single,secondary,2007,no,no,jan,2,yes
30.0,technician,married,tertiary,2166,no,no,jan,2,yes
28.0,self-employed,single,tertiary,4087,no,no,jan,2,yes
21.0,student,single,secondary,2488,no,no,jan,2,yes
74.5,retired,married,primary,2190,no,no,jan,2,yes
22.0,student,single,secondary,254,no,no,jan,2,yes
28.0,self-employed,single,tertiary,1579,no,no,jan,1,yes
31.0,unemployed,married,tertiary,330,no,no,jan,1,yes
60.0,retired,married,secondary,938,no,no,jan,3,yes
41.0,technician,single,unknown,4087,yes,no,jan,3,yes
24.0,student,single,secondary,3176,no,no,jan,2,yes
54.0,management,divorced,tertiary,496,no,no,jan,3,yes
35.0,technician,single,tertiary,0,no,no,jan,6,yes
70.0,retired,divorced,primary,482,no,no,jan,1,yes
62.0,blue-collar,married,secondary,180,no,no,jan,1,yes
59.0,technician,married,primary,4087,no,no,jan,1,yes
48.0,unemployed,married,secondary,817,no,no,jan,1,yes
45.0,admin.,married,secondary,4087,no,no,jan,1,yes
36.0,admin.,married,unknown,991,no,no,jan,2,yes
33.0,services,single,secondary,133,no,no,jan,2,yes
32.0,admin.,married,secondary,366,no,no,jan,2,yes
60.0,retired,divorced,tertiary,979,yes,no,jan,3,yes
39.0,management,married,tertiary,2939,no,no,jan,2,yes
37.0,admin.,single,secondary,4087,no,no,jan,2,yes
74.5,retired,married,primary,1255,no,no,jan,3,yes
74.5,retired,married,primary,4087,no,no,jan,2,yes
64.0,retired,married,secondary,588,no,no,jan,1,yes
42.0,technician,married,secondary,994,yes,no,jan,1,yes
47.0,blue-collar,married,secondary,820,no,no,jan,1,yes
66.0,retired,married,secondary,203,no,no,jan,1,yes
61.0,retired,married,secondary,86,no,no,jan,1,yes
27.0,admin.,married,tertiary,2855,no,no,jan,1,yes
63.0,retired,married,secondary,474,no,no,jan,1,yes
36.0,management,married,tertiary,203,no,no,jan,1,yes
38.0,unemployed,married,primary,4087,yes,no,jan,1,yes
74.5,retired,married,unknown,775,no,no,jan,4,yes
74.5,retired,married,secondary,4087,no,no,jan,1,yes
30.0,admin.,single,secondary,255,no,no,jan,1,yes
74.5,retired,married,primary,243,no,no,jan,1,yes
42.0,unknown,single,unknown,942,no,no,jan,1,yes
48.0,admin.,divorced,secondary,1180,no,no,jan,1,yes
52.0,services,married,secondary,992,yes,no,jan,1,yes
38.0,housemaid,divorced,secondary,70,no,no,jan,4,yes
61.0,admin.,married,unknown,4087,yes,no,jan,1,yes
20.0,student,single,unknown,829,no,no,jan,3,yes
39.0,admin.,married,secondary,0,no,no,jan,1,yes
44.0,technician,married,secondary,2776,yes,no,jan,1,yes
73.0,retired,married,primary,279,no,no,jan,3,yes
36.0,student,single,tertiary,129,no,no,jan,1,yes
48.0,management,married,tertiary,157,no,no,jan,4,yes
52.0,services,married,secondary,659,no,no,jan,4,yes
30.0,blue-collar,married,secondary,2493,no,no,jan,2,yes
36.0,management,married,tertiary,3949,no,no,jan,2,yes
74.5,retired,married,primary,997,no,no,jan,1,yes
33.0,technician,married,tertiary,1699,no,no,jan,1,yes
56.0,technician,married,tertiary,1181,no,no,jan,1,yes
54.0,admin.,married,secondary,0,no,no,jan,1,yes
34.0,admin.,married,tertiary,0,no,no,jan,2,yes
66.0,retired,married,tertiary,1948,no,no,jan,1,yes
52.0,blue-collar,married,primary,306,no,no,jan,1,yes
60.0,retired,married,secondary,4087,yes,no,jan,2,yes
28.0,admin.,single,secondary,261,yes,yes,jan,3,yes
56.0,retired,divorced,primary,694,no,no,jan,1,yes
36.0,technician,married,tertiary,202,no,no,jan,1,yes
45.0,management,single,tertiary,4087,no,no,jan,6,yes
60.0,management,married,unknown,264,no,no,feb,1,yes
33.0,entrepreneur,single,secondary,278,no,no,feb,5,yes
74.5,retired,married,tertiary,4087,no,no,feb,2,yes
66.0,retired,married,primary,3629,no,no,feb,1,yes
45.0,management,married,tertiary,547,no,no,feb,1,yes
30.0,student,single,unknown,4087,no,no,feb,1,yes
56.0,services,married,secondary,1989,no,no,feb,2,yes
64.0,housemaid,married,unknown,2645,no,no,feb,2,yes
30.0,technician,single,tertiary,4060,no,no,feb,1,yes
33.0,technician,married,secondary,303,yes,no,feb,1,yes
72.0,retired,married,primary,2600,no,no,feb,2,yes
44.0,technician,married,tertiary,1818,yes,yes,feb,1,yes
37.0,admin.,single,secondary,728,no,no,feb,1,yes
52.0,blue-collar,married,secondary,955,no,yes,feb,1,yes
37.0,technician,single,secondary,265,yes,yes,feb,1,yes
34.0,management,married,tertiary,123,no,no,feb,3,yes
74.5,retired,married,unknown,4087,no,no,feb,2,yes
